Symbol,Date,Open,Close,High,Low,Volume
A,2020-03-26,70.0000,74.0000,74.0000,69.5100,356004
A,2020-03-25,67.1200,69.0000,71.7900,65.1100,2628144
A,2020-03-24,65.5300,67.0000,68.1840,64.6000,2868885
A,2020-03-23,66.8000,63.3700,67.5599,62.0900,2989558
A,2020-03-20,65.9900,66.4600,71.0000,64.9600,3258439
A,2020-03-19,68.5400,65.7600,68.5900,64.1700,3430695
A,2020-03-18,65.1900,68.8700,69.8800,65.1800,4123865
A,2020-03-17,66.0200,70.4400,70.5300,63.9400,3341762
A,2020-03-16,63.4100,64.1300,66.6200,61.1300,4742810
A,2020-03-13,66.5300,69.2000,69.5100,63.7500,3258243
A,2020-03-12,64.0000,63.4200,67.1400,62.1550,5054964
A,2020-03-11,70.7600,68.8400,71.7300,67.5650,4985869
A,2020-03-10,73.0500,72.9100,73.6200,69.6600,3537258
A,2020-03-09,72.5900,70.7500,74.1900,70.1700,4598185
A,2020-03-06,77.9500,78.5600,78.9000,76.4950,2959913
A,2020-03-05,82.1400,80.4600,83.2500,79.7000,2322637
A,2020-03-04,81.7700,84.3500,84.4300,80.7200,1905295
A,2020-03-03,81.8900,80.3200,85.0000,79.2800,3017230
A,2020-03-02,77.3100,81.9700,82.0000,77.2350,3407549
A,2020-02-28,74.9700,77.0700,77.0700,74.1700,3755580
A,2020-02-27,76.6800,77.4300,80.3000,76.3700,2879357
A,2020-02-26,78.6600,78.1100,80.2700,78.0900,2526026
A,2020-02-25,80.7000,77.9500,80.8800,77.6900,2767995
A,2020-02-24,82.2200,80.5000,82.5900,80.0200,2919240
A,2020-02-21,83.9000,85.0700,85.0900,83.4025,1762536
A,2020-02-20,84.9000,84.3400,84.9900,83.3600,2543584
A,2020-02-19,84.7000,85.3500,85.8400,83.4500,4741298
A,2020-02-18,85.6600,84.7900,86.0800,84.5300,2872477
A,2020-02-14,85.7200,85.8200,85.8600,85.1150,1965354
A,2020-02-13,85.1000,85.4700,85.6800,84.6600,1596270
A,2020-02-12,85.4000,85.4300,86.0600,85.2900,1464200
A,2020-02-11,85.0300,85.0900,85.6700,84.8400,1543151
A,2020-02-10,83.0400,84.4300,84.6350,82.9250,2066861
A,2020-02-07,84.6100,83.1700,84.7900,82.9200,1447606
A,2020-02-06,85.3100,84.8200,85.3900,84.5800,835477
A,2020-02-05,84.5300,84.9300,85.5000,84.3900,2345127
A,2020-02-04,82.8500,83.5200,83.9000,82.7800,1676020
A,2020-02-03,83.2900,82.1500,83.6900,82.1100,1919771
A,2020-01-31,84.0300,82.5600,84.3350,82.3400,2850446
A,2020-01-30,84.9000,84.3800,85.0300,83.6000,3026658
A,2020-01-29,87.5500,87.2400,88.3600,87.1500,1131523
A,2020-01-28,86.8500,87.1800,87.4800,86.1900,1652210
A,2020-01-27,86.5400,86.5600,87.1700,86.2100,1867959
A,2020-01-24,89.4500,88.2600,89.4600,87.5800,1164489
A,2020-01-23,89.6200,89.0700,89.9800,88.6600,1228291
A,2020-01-22,89.9400,90.1300,90.6400,89.8420,1665822
A,2020-01-21,89.8000,89.6100,90.1500,89.4600,2697372
A,2020-01-17,89.9700,90.1200,90.2800,89.2050,3718336
A,2020-01-16,89.1200,89.4600,89.4900,88.8600,1480891
A,2020-01-15,87.6300,88.6200,89.1100,87.5500,1630364
A,2020-01-14,87.2700,87.9900,88.2100,86.7000,1675243
A,2020-01-13,87.8100,87.4600,88.3200,86.7384,1630160
A,2020-01-10,87.7200,87.5900,88.2350,87.3200,1417028
A,2020-01-09,86.4600,87.2700,87.7000,86.1700,1912699
A,2020-01-08,85.9600,85.9200,86.4700,85.2000,1847585
A,2020-01-07,83.9600,85.0800,85.2600,83.9400,1722896
A,2020-01-06,84.0000,84.8200,84.8200,83.6000,1992491
A,2020-01-03,84.6700,84.5700,85.3300,84.5000,1118322
A,2020-01-02,85.9000,85.9500,86.3500,85.2000,1410486
A,2019-12-31,84.8400,85.3100,85.3400,84.6700,1176222
A,2019-12-30,85.3400,84.9000,85.4000,84.6400,742820
A,2019-12-27,85.6800,85.4200,85.6800,85.1100,767716
A,2019-12-26,85.3100,85.4500,85.6400,85.0900,649078
A,2019-12-24,85.4500,85.3000,85.4500,84.9800,271858
